Date,Open,High,Low,Close,Adj Close,Volume,Jday,DayCount
2013-01-01,13104.299805,13447.110352000002,13104.299805,13384.290039,13384.290039,511770000,2456293.5,1827.0
2013-01-08,13377.419922,13520.179688,13293.129883,13507.320313,13507.320313,623820000,2456300.5,1834.0
2013-01-15,13507.320313,13649.929688,13445.799805,13649.700195,13649.700195,665620000,2456307.5,1841.0
2013-01-22,13649.700195,13915.719727000002,13622.959961000002,13881.929688,13881.929688,617440000,2456314.5,1848.0
2013-01-29,13881.929688,14019.780272999998,13860.580078,13880.080078,13880.080078,626870000,2456321.5,1855.0
2013-02-05,13880.080078,14022.620116999999,13852.200195,13971.240234,13971.240234,555430000,2456328.5,1862.0
2013-02-12,13971.240234,14038.969727000002,13906.730469,13981.759766,13981.759766,558170000,2456335.5,1869.0
2013-02-19,13981.759766,14081.580078,13784.009766,13784.169922,13784.169922,698400000,2456342.5,1876.0
2013-02-26,13784.169922,14149.150391,13784.169922,14127.820313,14127.820313,653470000,2456349.5,1883.0
2013-03-05,14127.820313,14448.05957,14127.820313,14447.290038999998,14447.290038999998,556200000,2456356.5,1890.0
2013-03-12,14447.290038999998,14539.290038999998,14404.209961000002,14452.05957,14452.05957,830820000,2456363.5,1897.0
2013-03-19,14452.05957,14563.75,14382.089844,14447.75,14447.75,580150000,2456370.5,1904.0
2013-03-26,14447.75,14605.719727000002,14439.549805,14572.849609,14572.849609,433820000,2456377.5,1911.0
2013-04-02,14572.849609,14684.490234,14434.429688,14613.480469,14613.480469,568280000,2456384.5,1918.0
2013-04-09,14613.480469,14887.509766,14598.5,14599.200195,14599.200195,674920000,2456391.5,1925.0
2013-04-16,14599.200195,14761.730469,14444.030272999998,14567.169922,14567.169922,806470000,2456398.5,1932.0
2013-04-23,14567.169922,14844.959961000002,14554.290038999998,14818.75,14818.75,630910000,2456405.5,1939.0
2013-04-30,14818.75,15009.589844,14687.049805,14968.889647999998,14968.889647999998,588100000,2456412.5,1946.0
2013-05-07,14968.889647999998,15144.830078,14968.889647999998,15091.679688,15091.679688,521810000,2456419.5,1953.0
2013-05-14,15091.679688,15391.839844,15089.299805,15335.280272999998,15335.280272999998,685880000,2456426.5,1960.0
2013-05-21,15334.969727000002,15542.400391,15180.230469,15303.099609,15303.099609,549290000,2456433.5,1967.0
2013-05-28,15307.330078,15521.490234,15115.570313,15254.030272999998,15254.030272999998,722660000,2456440.5,1974.0
2013-06-04,15255.219727000002,15304.980469,14844.219727000002,15238.589844,15238.589844,647720000,2456447.5,1981.0
2013-06-11,15231.379883000001,15261.709961000002,14953.450195,15179.849609,15179.849609,558550000,2456454.5,1988.0
2013-06-18,15186.299805,15340.089844,14551.269531,14659.55957,14659.55957,961970000,2456461.5,1995.0
2013-06-25,14669.69043,15083.280272999998,14669.69043,14974.959961000002,14974.959961000002,733390000,2456468.5,2002.0
2013-07-02,14974.959961000002,15262.719727000002,14858.929688,15224.69043,15224.69043,408990000,2456475.5,2009.0
2013-07-09,15228.459961000002,15509.480469,15228.459961000002,15484.259766,15484.259766,568840000,2456482.5,2016.0
2013-07-16,15485.030272999998,15589.400391,15415.709961000002,15545.549805,15545.549805,778660000,2456489.5,2023.0
2013-07-23,15547.0,15604.219727000002,15405.160156,15521.969727000002,15521.969727000002,483400000,2456496.5,2030.0
2013-07-30,15534.490234,15658.429688,15479.129883000001,15612.129883000001,15612.129883000001,555400000,2456503.5,2037.0
2013-08-06,15608.44043,15608.44043,15346.650391,15419.679688,15419.679688,426390000,2456510.5,2044.0
2013-08-13,15420.679688,15504.139647999998,15005.419922,15010.740234,15010.740234,567440000,2456517.5,2051.0
2013-08-20,15011.820313,15074.919922,14880.839844,14946.459961000002,14946.459961000002,588850000,2456524.5,2058.0
2013-08-27,14939.25,14939.25,14760.410156,14810.30957,14810.30957,452250000,2456531.5,2065.0
2013-09-03,14801.549805,15088.410156,14777.480469,15063.120116999999,15063.120116999999,564760000,2456538.5,2072.0
2013-09-10,15067.230469,15549.870116999999,15067.230469,15494.780272999998,15494.780272999998,501680000,2456545.5,2079.0
2013-09-17,15503.150391,15709.580078,15368.25,15401.379883000001,15401.379883000001,840740000,2456552.5,2086.0
2013-09-24,15402.540038999998,15433.75,15086.709961000002,15129.669922,15129.669922,464360000,2456559.5,2093.0
2013-10-01,15132.490234,15208.400391,14920.830078,14936.240234,14936.240234,414570000,2456566.5,2100.0
2013-10-08,14938.040038999998,15309.480469,14719.429688,15301.259766,15301.259766,479570000,2456573.5,2107.0
2013-10-15,15300.299805,15412.969727000002,15161.330078,15392.200195,15392.200195,543100000,2456580.5,2114.0
2013-10-22,15394.219727000002,15599.089844,15366.19043,15568.929688,15568.929688,489560000,2456587.5,2121.0
2013-10-29,15572.209961000002,15721.0,15543.25,15639.120116999999,15639.120116999999,452850000,2456594.5,2128.0
2013-11-05,15631.219727000002,15797.679688,15522.179688,15783.099609,15783.099609,465010000,2456601.5,2135.0
2013-11-12,15773.150391,16030.280272999998,15672.0,15976.019531,15976.019531,516890000,2456608.5,2142.0
2013-11-19,15974.05957,16109.629883000001,15865.370116999999,16072.540038999998,16072.540038999998,422960000,2456615.5,2149.0
2013-11-26,16070.929688,16174.509766,15986.230469,16008.769531,16008.769531,334960000,2456622.5,2156.0
2013-12-03,16004.719727000002,16058.400391,15791.290038999998,16025.530272999998,16025.530272999998,533240000,2456629.5,2163.0
2013-12-10,16024.120116999999,16029.05957,15703.790038999998,15884.570313,15884.570313,477110000,2456636.5,2170.0
2013-12-17,15884.05957,16318.110352000002,15808.919922,16294.610352000002,16294.610352000002,690210000,2456643.5,2177.0
2013-12-24,16295.700195,16529.009766,16295.700195,16504.289063,16504.289063,185250000,2456650.5,2184.0
2013-12-31,16512.380859,16588.25,16405.519531,16425.099609,16425.099609,321870000,2456657.5,2191.0
2014-01-07,16429.019531,16562.320313,16240.599609,16257.94043,16257.94043,465390000,2456664.5,2198.0
2014-01-14,16261.990234,16505.279297,16260.830078,16458.560547,16458.560547,472080000,2456671.5,2205.0
2014-01-21,16459.269531,16520.599609,15783.549805,15837.879883000001,15837.879883000001,568570000,2456678.5,2212.0
2014-01-28,15840.839844,15945.889647999998,15356.169922,15372.799805,15372.799805,578940000,2456685.5,2219.0
2014-02-04,15372.929688,15801.790038999998,15340.69043,15801.790038999998,15801.790038999998,526110000,2456692.5,2226.0
2014-02-11,15804.169922,16175.549805,15803.400391,16154.389647999998,16154.389647999998,356770000,2456699.5,2233.0
2014-02-18,16153.969727000002,16300.040038999998,16006.589844,16207.139647999998,16207.139647999998,620690000,2456706.5,2240.0
2014-02-25,16207.339844,16398.949219,16071.25,16168.030272999998,16168.030272999998,505960000,2456713.5,2247.0
2014-03-04,16169.320313,16505.699219,16169.320313,16418.679688,16418.679688,394900000,2456720.5,2254.0
2014-03-11,16419.390625,16460.330078,16046.990234,16247.219727000002,16247.219727000002,416800000,2456727.5,2261.0
2014-03-18,16245.929688,16456.449219,16126.290038999998,16276.69043,16276.69043,725070000,2456734.5,2268.0
2014-03-25,16279.200195,16480.849609,16191.790038999998,16457.660156,16457.660156,466410000,2456741.5,2275.0
2014-04-01,16458.050781,16631.630859,16244.009766,16245.870116999999,16245.870116999999,464240000,2456748.5,2282.0
2014-04-08,16245.160156,16456.119141,16015.320313,16173.240234,16173.240234,512180000,2456755.5,2289.0
2014-04-15,16173.490234,16460.490234,16063.200195,16449.25,16449.25,408190000,2456762.5,2296.0
2014-04-22,16449.380859,16565.710938,16312.660156,16448.740234,16448.740234,438140000,2456769.5,2303.0
2014-04-29,16451.179688,16620.060547,16377.089844,16530.550781,16530.550781,389070000,2456776.5,2310.0
2014-05-06,16529.849609,16704.839844,16357.349609,16695.470703,16695.470703,390360000,2456783.5,2317.0
2014-05-13,16695.919922,16735.509766,16397.460938,16511.859375,16511.859375,451430000,2456790.5,2324.0
2014-05-20,16511.220703,16613.070313,16341.299805,16606.269531,16606.269531,272470000,2456797.5,2331.0
2014-05-27,16607.419922,16756.640625,16607.419922,16743.630859,16743.630859,361600000,2456804.5,2338.0
2014-06-03,16736.699219,16970.169922,16673.650391,16943.099609,16943.099609,351520000,2456811.5,2345.0
2014-06-10,16940.400391,16946.339844,16703.730469,16781.009766,16781.009766,372100000,2456818.5,2352.0
2014-06-17,16779.210938,16978.019531,16732.910156,16937.259766,16937.259766,528460000,2456825.5,2359.0
2014-06-24,16934.619141,16969.699219,16746.089844,16826.599609,16826.599609,445840000,2456832.5,2366.0
2014-07-01,16828.529297,17074.650391,16828.529297,17024.210938,17024.210938,260170000,2456839.5,2373.0
2014-07-08,17022.089844,17088.429688,16805.380859,17055.419922,17055.419922,331450000,2456846.5,2380.0
2014-07-15,17055.029297,17151.560547,16966.189453,17051.730469,17051.730469,492590000,2456853.5,2387.0
2014-07-22,17054.970703,17133.429688,16877.720703,16982.589844,16982.589844,351270000,2456860.5,2394.0
2014-07-29,16984.330078,17056.460938,16437.070313,16569.279297,16569.279297,416520000,2456867.5,2401.0
2014-08-05,16559.970703,16627.990234,16333.780272999998,16569.980469,16569.980469,383640000,2456874.5,2408.0
2014-08-12,16565.550781,16840.279297,16518.060547,16838.740234,16838.740234,376010000,2456881.5,2415.0
2014-08-19,16839.060547,17124.740234,16839.060547,17076.869141,17076.869141,316070000,2456888.5,2422.0
2014-08-26,17079.570313,17153.800781,17018.330078,17098.449219,17098.449219,245760000,2456895.5,2429.0
2014-09-02,17097.419922,17161.550781,17009.070313,17111.419922,17111.419922,337980000,2456902.5,2436.0
2014-09-09,17110.390625,17111.550781,16937.669922,17031.140625,17031.140625,364020000,2456909.5,2443.0
2014-09-16,17027.160156,17350.640625,16985.550781,17172.679688,17172.679688,670230000,2456916.5,2450.0
2014-09-23,17165.910156,17226.599609,16934.429688,17071.220703,17071.220703,396030000,2456923.5,2457.0
2014-09-30,17070.449219,17145.099609,16674.039063,16991.910156,16991.910156,1025410000,2456930.5,2464.0
2014-10-07,16988.25,17006.910156,16310.469727000002,16321.070313,16321.070313,523760000,2456937.5,2471.0
2014-10-14,16321.900391,16463.669922,15855.120116999999,16399.669922,16399.669922,634690000,2456944.5,2478.0
2014-10-21,16406.029297,16836.980469,16405.769531,16817.939453,16817.939453,459560000,2456951.5,2485.0
2014-10-28,16825.189453,17410.650391,16825.189453,17366.240234,17366.240234,442140000,2456958.5,2492.0
2014-11-04,17368.810547,17621.869141,17278.359375,17613.740234,17613.740234,382380000,2456965.5,2499.0
2014-11-11,17615.640625,17705.480469,17536.169922,17647.75,17647.75,352580000,2456972.5,2506.0
2014-11-18,17643.089844,17894.830078,17603.890625,17817.900391,17817.900391,465390000,2456979.5,2513.0
2014-11-25,17819.050781,17893.419922,17726.550781,17776.800781,17776.800781,322500000,2456986.5,2520.0
2014-12-02,17778.849609,17991.189453,17778.849609,17852.480469,17852.480469,425430000,2456993.5,2527.0
2014-12-09,17847.369141,17847.369141,17115.279297,17180.839844,17180.839844,541600000,2457000.5,2534.0
2014-12-16,17173.070313,17962.779297,17067.589844,17959.439453,17959.439453,800950000,2457007.5,2541.0
2014-12-23,17971.509766,18103.449219,17970.160156,18038.230469,18038.230469,232200000,2457014.5,2548.0
2014-12-30,18035.019531,18043.220703,17475.929688,17501.650391,17501.650391,322760000,2457021.5,2555.0
