state,1,2,3,4,5,6,7,8,9,10,11,12
Alabama,0.014084507042253521,0.056338028169014086,0.19718309859154928,0.19718309859154928,0.11267605633802817,0.1267605633802817,0.09859154929577464,0.056338028169014086,0.0,0.014084507042253521,0.0,0.1267605633802817
Arizona,0.015151515151515152,0.0,0.030303030303030304,0.10606060606060606,0.06060606060606061,0.12121212121212122,0.10606060606060606,0.30303030303030304,0.015151515151515152,0.0,0.0,0.24242424242424243
Arkansas,0.01694915254237288,0.0,0.0,0.0847457627118644,0.1694915254237288,0.2033898305084746,0.22033898305084745,0.06779661016949153,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.1694915254237288
California,0.013574660633484163,0.0,0.029411764705882353,0.058823529411764705,0.11764705882352941,0.12895927601809956,0.058823529411764705,0.033936651583710405,0.024886877828054297,0.006787330316742082,0.00904977375565611,0.5180995475113123
Colorado,0.0,0.0,0.08163265306122448,0.32653061224489793,0.29591836734693877,0.19387755102040816,0.04081632653061224,0.02040816326530612,0.0,0.0,0.0,0.04081632653061224
Connecticut,0.0,0.05555555555555555,0.0,0.18518518518518517,0.42592592592592593,0.09259259259259259,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.0,0.0,0.05555555555555555
Delaware,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.10714285714285714,0.25,0.25,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.0,0.0,0.03571428571428571
District of Columbia,0.0,0.0,0.022727272727272728,0.045454545454545456,0.1590909090909091,0.22727272727272727,0.3409090909090909,0.06818181818181818,0.09090909090909091,0.0,0.0,0.045454545454545456
Florida,0.07051282051282051,0.01282051282051282,0.019230769230769232,0.019230769230769232,0.038461538461538464,0.05128205128205128,0.07051282051282051,0.08974358974358974,0.019230769230769232,0.038461538461538464,0.0,0.5705128205128205
Georgia,0.016129032258064516,0.008064516129032258,0.04838709677419355,0.08064516129032258,0.08870967741935484,0.1532258064516129,0.11290322580645161,0.12903225806451613,0.0967741935483871,0.024193548387096774,0.008064516129032258,0.23387096774193547
Idaho,0.0,0.08108108108108109,0.05405405405405406,0.13513513513513514,0.35135135135135137,0.1891891891891892,0.13513513513513514,0.0,0.0,0.0,0.0,0.05405405405405406
Illinois,0.02617801047120419,0.015706806282722512,0.06282722513089005,0.14659685863874344,0.32460732984293195,0.3036649214659686,0.05235602094240838,0.041884816753926704,0.005235602094240838,0.0,0.0,0.020942408376963352
Indiana,0.0,0.006944444444444444,0.04861111111111111,0.16666666666666666,0.3125,0.3263888888888889,0.06944444444444445,0.006944444444444444,0.020833333333333332,0.0,0.0,0.041666666666666664
Iowa,0.0,0.0,0.019801980198019802,0.16831683168316833,0.25742574257425743,0.5148514851485149,0.0297029702970297,0.0,0.0,0.0,0.0,0.009900990099009901
Kansas,0.012987012987012988,0.0,0.05194805194805195,0.16883116883116883,0.24675324675324675,0.33766233766233766,0.1038961038961039,0.03896103896103896,0.012987012987012988,0.012987012987012988,0.0,0.012987012987012988
Kentucky,0.0,0.0,0.010526315789473684,0.06315789473684211,0.1368421052631579,0.4105263157894737,0.22105263157894736,0.06315789473684211,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.042105263157894736
Louisiana,0.017543859649122806,0.017543859649122806,0.10526315789473684,0.07017543859649122,0.017543859649122806,0.10526315789473684,0.0,0.017543859649122806,0.07017543859649122,0.05263157894736842,0.0,0.5263157894736842
Maine,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.10606060606060606,0.25757575757575757,0.3787878787878788,0.09090909090909091,0.045454545454545456,0.015151515151515152,0.0,0.0,0.045454545454545456
Maryland,0.0,0.0,0.02608695652173913,0.14782608695652175,0.1565217391304348,0.21739130434782608,0.22608695652173913,0.06086956521739131,0.02608695652173913,0.008695652173913044,0.008695652173913044,0.12173913043478261
Massachusetts,0.0125,0.025,0.06666666666666667,0.1875,0.425,0.15,0.0875,0.008333333333333333,0.0,0.004166666666666667,0.0,0.03333333333333333
Michigan,0.004201680672268907,0.004201680672268907,0.0546218487394958,0.15126050420168066,0.2815126050420168,0.36554621848739494,0.03361344537815126,0.025210084033613446,0.0,0.0,0.004201680672268907,0.07563025210084033
Minnesota,0.0,0.007874015748031496,0.06299212598425197,0.2204724409448819,0.31496062992125984,0.33858267716535434,0.023622047244094488,0.015748031496062992,0.007874015748031496,0.0,0.0,0.007874015748031496
Mississippi,0.022222222222222223,0.0,0.1111111111111111,0.24444444444444444,0.08888888888888889,0.17777777777777778,0.06666666666666667,0.08888888888888889,0.022222222222222223,0.0,0.044444444444444446,0.13333333333333333
Missouri,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.0783132530120482,0.14457831325301204,0.4457831325301205,0.18674698795180722,0.06626506024096386,0.006024096385542169,0.0,0.0,0.05421686746987952
Montana,0.0,0.038461538461538464,0.17307692307692307,0.28846153846153844,0.25,0.21153846153846154,0.019230769230769232,0.0,0.0,0.0,0.0,0.019230769230769232
Nebraska,0.0,0.01818181818181818,0.09090909090909091,0.32727272727272727,0.2545454545454545,0.23636363636363636,0.05454545454545454,0.0,0.0,0.0,0.0,0.01818181818181818
Nevada,0.0,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.2692307692307692
New Hampshire,0.014492753623188406,0.0,0.043478260869565216,0.2318840579710145,0.36231884057971014,0.2898550724637681,0.028985507246376812,0.014492753623188406,0.0,0.0,0.0,0.014492753623188406
