Date,Open,High,Low,Close,Adj Close,Volume,Jday,DayCount
2013-01-02,13104.299805,13412.709961,13104.299805,13412.549805,13412.549805,161430000,2456294.5,1827.0
2013-01-03,13413.009766,13430.599609,13358.299805,13391.360352,13391.360352,129630000,2456295.5,1828.0
2013-01-04,13391.049805,13447.110352000002,13376.230469,13435.209961000002,13435.209961000002,107590000,2456296.5,1829.0
2013-01-07,13436.129883000001,13436.129883000001,13343.320313,13384.290039,13384.290039,113120000,2456299.5,1832.0
2013-01-08,13377.419922,13377.419922,13293.129883,13328.849609,13328.849609,129570000,2456300.5,1833.0
2013-01-09,13329.919922,13416.549805,13329.080078,13390.509766,13390.509766,123070000,2456301.5,1834.0
2013-01-10,13391.820313,13478.200195,13382.290039,13471.219727000002,13471.219727000002,133520000,2456302.5,1835.0
2013-01-11,13471.450195,13496.679688,13439.969727000002,13488.429688,13488.429688,119200000,2456303.5,1836.0
2013-01-14,13488.429688,13520.179688,13459.839844,13507.320313,13507.320313,118460000,2456306.5,1839.0
2013-01-15,13507.320313,13546.370116999999,13445.799805,13534.889647999998,13534.889647999998,102280000,2456307.5,1840.0
2013-01-16,13534.889647999998,13534.889647999998,13468.959961000002,13511.230469,13511.230469,118540000,2456308.5,1841.0
2013-01-17,13511.230469,13633.889647999998,13510.240234,13596.019531,13596.019531,183900000,2456309.5,1842.0
2013-01-18,13596.019531,13649.929688,13571.860352000002,13649.700195,13649.700195,260900000,2456310.5,1843.0
2013-01-22,13649.700195,13712.209961000002,13622.959961000002,13712.209961000002,13712.209961000002,144300000,2456314.5,1847.0
2013-01-23,13712.209961000002,13794.290038999998,13710.129883000001,13779.330078,13779.330078,104490000,2456315.5,1848.0
2013-01-24,13779.330078,13879.660156,13779.330078,13825.330078,13825.330078,124780000,2456316.5,1849.0
2013-01-25,13825.330078,13895.980469,13825.330078,13895.980469,13895.980469,130300000,2456317.5,1850.0
2013-01-28,13895.980469,13915.719727000002,13862.570313,13881.929688,13881.929688,113570000,2456320.5,1853.0
2013-01-29,13881.929688,13969.990234,13880.009766,13954.419922,13954.419922,108230000,2456321.5,1854.0
2013-01-30,13954.419922,13966.129883000001,13896.950195,13910.419922,13910.419922,117200000,2456322.5,1855.0
2013-01-31,13910.419922,13941.05957,13860.580078,13860.580078,13860.580078,142600000,2456323.5,1856.0
2013-02-01,13860.580078,14019.780272999998,13860.580078,14009.790038999998,14009.790038999998,128420000,2456324.5,1857.0
2013-02-04,14009.790038999998,14009.790038999998,13866.830078,13880.080078,13880.080078,130420000,2456327.5,1860.0
2013-02-05,13880.080078,14013.599609,13880.080078,13979.299805,13979.299805,134390000,2456328.5,1861.0
2013-02-06,13979.299805,13991.610352000002,13913.179688,13986.519531,13986.519531,127560000,2456329.5,1862.0
2013-02-07,13986.519531,13988.05957,13852.200195,13944.049805,13944.049805,118530000,2456330.5,1863.0
2013-02-08,13944.049805,14022.620116999999,13944.049805,13992.969727000002,13992.969727000002,99860000,2456331.5,1864.0
2013-02-11,13992.969727000002,13992.969727000002,13940.410156,13971.240234,13971.240234,75090000,2456334.5,1867.0
2013-02-12,13971.240234,14038.969727000002,13968.94043,14018.700195,14018.700195,117180000,2456335.5,1868.0
2013-02-13,14018.700195,14029.349609,13945.780272999998,13982.910156,13982.910156,130520000,2456336.5,1869.0
2013-02-14,13982.910156,13990.360352000002,13921.94043,13973.389647999998,13973.389647999998,114800000,2456337.5,1870.0
2013-02-15,13973.389647999998,14001.929688,13906.730469,13981.759766,13981.759766,195670000,2456338.5,1871.0
2013-02-19,13981.759766,14044.820313,13977.900391,14035.669922,14035.669922,136410000,2456342.5,1875.0
2013-02-20,14035.669922,14058.269531,13919.280272999998,13927.540038999998,13927.540038999998,138540000,2456343.5,1876.0
2013-02-21,13927.540038999998,13927.540038999998,13834.400391,13880.620116999999,13880.620116999999,131410000,2456344.5,1877.0
2013-02-22,13880.620116999999,14001.19043,13880.620116999999,14000.570313,14000.570313,139850000,2456345.5,1878.0
2013-02-25,14000.570313,14081.580078,13784.009766,13784.169922,13784.169922,152190000,2456348.5,1881.0
2013-02-26,13784.169922,13918.44043,13784.169922,13900.129883000001,13900.129883000001,132580000,2456349.5,1882.0
2013-02-27,13900.129883000001,14104.860352000002,13880.19043,14075.370116999999,14075.370116999999,107010000,2456350.5,1883.0
2013-02-28,14075.370116999999,14149.150391,14050.179688,14054.490234,14054.490234,177150000,2456351.5,1884.0
2013-03-01,14054.490234,14107.089844,13937.599609,14089.660156,14089.660156,125920000,2456352.5,1885.0
2013-03-04,14089.660156,14128.209961000002,14030.370116999999,14127.820313,14127.820313,110810000,2456355.5,1888.0
2013-03-05,14127.820313,14286.370116999999,14127.820313,14253.769531,14253.769531,112100000,2456356.5,1889.0
2013-03-06,14253.769531,14320.650391,14253.0,14296.240234,14296.240234,116510000,2456357.5,1890.0
2013-03-07,14296.240234,14354.69043,14296.240234,14329.490234,14329.490234,117080000,2456358.5,1891.0
2013-03-08,14329.490234,14413.169922,14329.490234,14397.070313,14397.070313,115630000,2456359.5,1892.0
2013-03-11,14397.070313,14448.05957,14373.320313,14447.290038999998,14447.290038999998,94880000,2456362.5,1895.0
2013-03-12,14447.290038999998,14478.799805,14412.05957,14450.05957,14450.05957,102100000,2456363.5,1896.0
2013-03-13,14450.05957,14472.799805,14411.660156,14455.280272999998,14455.280272999998,83920000,2456364.5,1897.0
2013-03-14,14455.280272999998,14539.290038999998,14455.280272999998,14539.139647999998,14539.139647999998,117390000,2456365.5,1898.0
2013-03-15,14539.139647999998,14539.139647999998,14470.5,14514.110352000002,14514.110352000002,407770000,2456366.5,1899.0
2013-03-18,14514.110352000002,14521.589844,14404.209961000002,14452.05957,14452.05957,119640000,2456369.5,1902.0
2013-03-19,14452.05957,14514.339844,14382.089844,14455.820313,14455.820313,122170000,2456370.5,1903.0
2013-03-20,14455.820313,14546.820313,14455.820313,14511.730469,14511.730469,121240000,2456371.5,1904.0
2013-03-21,14511.730469,14511.730469,14383.019531,14421.490234,14421.490234,110450000,2456372.5,1905.0
2013-03-22,14421.490234,14519.950195,14421.490234,14512.030272999998,14512.030272999998,101450000,2456373.5,1906.0
2013-03-25,14512.030272999998,14563.75,14395.0,14447.75,14447.75,124840000,2456376.5,1909.0
2013-03-26,14447.75,14561.540038999998,14447.75,14559.650391,14559.650391,96030000,2456377.5,1910.0
2013-03-27,14559.650391,14559.650391,14439.549805,14526.160156,14526.160156,92680000,2456378.5,1911.0
2013-03-28,14526.160156,14585.099609,14520.860352000002,14578.540038999998,14578.540038999998,153710000,2456379.5,1912.0
2013-04-01,14578.540038999998,14605.719727000002,14531.480469,14572.849609,14572.849609,91400000,2456383.5,1916.0
2013-04-02,14572.849609,14684.490234,14572.849609,14662.009766,14662.009766,98420000,2456384.5,1917.0
2013-04-03,14662.009766,14683.129883000001,14525.360352000002,14550.349609,14550.349609,127140000,2456385.5,1918.0
2013-04-04,14550.349609,14625.240234,14538.719727000002,14606.110352000002,14606.110352000002,104790000,2456386.5,1919.0
2013-04-05,14606.110352000002,14606.110352000002,14434.429688,14565.25,14565.25,131250000,2456387.5,1920.0
2013-04-08,14565.25,14613.480469,14497.799805,14613.480469,14613.480469,106680000,2456390.5,1923.0
2013-04-09,14613.480469,14716.459961000002,14598.5,14673.459961000002,14673.459961000002,128580000,2456391.5,1924.0
2013-04-10,14673.459961000002,14826.660156,14673.459961000002,14802.240234,14802.240234,120520000,2456392.5,1925.0
2013-04-11,14802.240234,14887.509766,14785.360352000002,14865.139647999998,14865.139647999998,144570000,2456393.5,1926.0
2013-04-12,14865.139647999998,14865.209961000002,14790.570313,14865.05957,14865.05957,119570000,2456394.5,1927.0
2013-04-15,14865.05957,14865.05957,14598.580078,14599.200195,14599.200195,161680000,2456397.5,1930.0
2013-04-16,14599.200195,14761.730469,14599.200195,14756.780272999998,14756.780272999998,126320000,2456398.5,1931.0
2013-04-17,14756.780272999998,14756.780272999998,14560.80957,14618.589844,14618.589844,168010000,2456399.5,1932.0
2013-04-18,14618.589844,14650.259766,14495.290038999998,14537.139647999998,14537.139647999998,158050000,2456400.5,1933.0
2013-04-19,14537.139647999998,14553.730469,14444.030272999998,14547.509766,14547.509766,207200000,2456401.5,1934.0
2013-04-22,14547.509766,14588.830078,14457.599609,14567.169922,14567.169922,146890000,2456404.5,1937.0
2013-04-23,14567.169922,14721.419922,14554.290038999998,14719.459961000002,14719.459961000002,137320000,2456405.5,1938.0
2013-04-24,14719.459961000002,14747.419922,14666.540038999998,14676.299805,14676.299805,138020000,2456406.5,1939.0
2013-04-25,14676.299805,14768.049805,14665.450195,14700.799805,14700.799805,129600000,2456407.5,1940.0
2013-04-26,14700.799805,14743.490234,14684.820313,14712.549805,14712.549805,128910000,2456408.5,1941.0
2013-04-29,14712.549805,14844.959961000002,14712.549805,14818.75,14818.75,97060000,2456411.5,1944.0
2013-04-30,14818.75,14839.799805,14734.469727000002,14839.799805,14839.799805,148250000,2456412.5,1945.0
2013-05-01,14839.799805,14839.799805,14687.049805,14700.950195,14700.950195,112620000,2456413.5,1946.0
2013-05-02,14700.950195,14834.629883000001,14700.950195,14831.580078,14831.580078,91180000,2456414.5,1947.0
2013-05-03,14831.580078,15009.589844,14831.580078,14973.959961000002,14973.959961000002,119890000,2456415.5,1948.0
2013-05-06,14973.959961000002,14988.870116999999,14941.089844,14968.889647999998,14968.889647999998,116160000,2456418.5,1951.0
2013-05-07,14968.889647999998,15056.669922,14968.889647999998,15056.200195,15056.200195,117230000,2456419.5,1952.0
2013-05-08,15056.200195,15106.80957,15021.870116999999,15105.120116999999,15105.120116999999,113510000,2456420.5,1953.0
2013-05-09,15105.120116999999,15144.830078,15046.870116999999,15082.620116999999,15082.620116999999,97810000,2456421.5,1954.0
2013-05-10,15082.620116999999,15118.490234,15038.179688,15118.490234,15118.490234,98980000,2456422.5,1955.0
2013-05-13,15113.419922,15113.419922,15053.459961000002,15091.679688,15091.679688,94280000,2456425.5,1958.0
2013-05-14,15091.679688,15219.549805,15089.299805,15215.25,15215.25,124590000,2456426.5,1959.0
2013-05-15,15211.870116999999,15301.339844,15175.389647999998,15275.69043,15275.69043,124030000,2456427.5,1960.0
2013-05-16,15273.919922,15302.490234,15215.820313,15233.219727000002,15233.219727000002,145090000,2456428.5,1961.0
2013-05-17,15234.75,15357.400391,15234.75,15354.400391,15354.400391,175750000,2456429.5,1962.0
2013-05-20,15348.330078,15391.839844,15314.150391,15335.280272999998,15335.280272999998,116420000,2456432.5,1965.0
2013-05-21,15334.969727000002,15434.5,15325.679688,15387.580078,15387.580078,122970000,2456433.5,1966.0
