,permit,city,state,zip,district,date_issued,lat,lng
277,276.0,Nashville,TN,37207,8.0,03/24/2014,36.194945,-86.770061
278,66.0,Nashville,TN,37207,8.0,11/26/2014,36.234945,-86.730061
279,314.0,Nashville,TN,37205,23.0,11/25/2015,36.107469,-86.827263
280,273.0,Nashville,TN,37212,7.0,01/06/2015,36.128256,-86.806456
281,348.0,Nashville,TN,37215,25.0,01/21/2015,36.081316,-86.792959
282,337.0,Nashville,TN,37204,17.0,08/18/2014,36.079305,-86.786748
283,199.0,Nashville,TN,37205,23.0,11/19/2015,36.092469,-86.837263
284,323.0,Nashville,TN,37115,10.0,11/18/2015,36.247567,-86.664171
285,318.0,Nashville,TN,37221,35.0,12/03/2014,36.044367,-87.005290
286,184.0,Nashville,TN,37216,7.0,06/27/2012,36.256134,-86.771204
287,,Nashville,TN,37205,23.0,12/01/2014,36.132469,-86.847263
288,418.0,Nashville,TN,37209,29.0,04/16/2015,36.174599,-86.909487
289,330.0,Nashville,TN,37205,24.0,01/06/2015,36.137469,-86.827263
290,222.0,Nashville,TN,37208,21.0,12/10/2014,36.191427,-86.805176
291,4.0,Nashville,TN,37211,16.0,01/26/2015,36.034132,-86.729578
292,210.0,Nashville,TN,37205,23.0,12/01/2015,36.102469,-86.897263
293,285.0,Nashville,TN,37215,34.0,06/06/2012,36.056316,-86.872959
294,458.0,Nashville,TN,37214,15.0,06/25/2015,36.143995,-86.622231
295,484.0,Nashville,TN,37013,33.0,09/18/2015,36.054335,-86.646832
296,439.0,Nashville,TN,37207,8.0,05/26/2015,36.244945,-86.780061
297,430.0,Nashville,TN,37214,15.0,05/01/2015,36.138995,-86.707231
298,221.0,Nashville,TN,37205,24.0,12/31/2014,36.142469,-86.907263
299,126.0,Nashville,TN,37214,15.0,06/25/2012,36.138995,-86.707231
300,274.0,Nashville,TN,37209,23.0,12/01/2015,36.154599,-86.879487
301,221.0,Nashville,TN,37211,26.0,11/30/2015,36.089132,-86.734578
302,262.0,Nashville,TN,37206,6.0,01/06/2015,36.215950,-86.719624
303,224.0,Nashville,TN,37206,5.0,07/09/2013,36.170950,-86.784624
304,408.0,Nashville,TN,37115,7.0,03/17/2015,36.262567,-86.664171
305,236.0,Nashville,TN,37206,6.0,12/29/2014,36.210950,-86.709624
306,310.0,Nashville,TN,37209,20.0,01/02/2005,36.119599,-86.904487
307,226.0,Nashville,TN,37072,3.0,12/01/2015,36.355389,-86.701255
308,412.0,Nashville,TN,37216,8.0,04/06/2015,36.216134,-86.716204
309,286.0,Nashville,TN,37221,35.0,12/10/2014,36.054367,-86.920290
310,54.0,Nashville,TN,37204,6.0,12/03/2014,36.144305,-86.741748
311,456.0,Nashville,TN,37207,5.0,06/24/2015,36.269945,-86.780061
312,325.0,Nashville,TN,37216,7.0,11/19/2014,36.196134,-86.716204
